"β"	"beta"
"いらっしゃる"	"be"
"いらっしゃる"	"come"
"いらっしゃる"	"go"
"いらっしゃる"	"is"
"いら立ち"	"irritation"
"いれもの"	"case"
"いれもの"	"coffin"
"いれもの"	"container"
"いれもの"	"receptacle"
"いれる"	"accept"
"いれる"	"admit"
"いれる"	"adopt"
"いれる"	"call"
"いれる"	"cast"
"いれる"	"comply"
"いれる"	"employ"
"いれる"	"grant"
"いれる"	"hire"
"いれる"	"include"
"いれる"	"insert"
"いれる"	"make"
"いれる"	"pay"
"いれる"	"send"
"いれる"	"set"
"いれる"	"take"
"いろいろ"	"various"
"いわし"	"sardine"
"いわれ"	"history"
"いわれ"	"origin"
"いわれ"	"reason"
"いんぎん"	"courtesy"
"いんぎん"	"friendship"
"いんぎん"	"intimacy"
"いんちき"	"bogus"
"いんちき"	"fake"
"いん石"	"meteorite"
"ううん"	"groan"
"ううん"	"no"
"うかうか"	"carelessly"
"うかがう"	"await"
"うかがう"	"examine"
"うかがう"	"gather"
"うかがう"	"guess"
"うかがう"	"infer"
"うかがう"	"peek"
"うがつ"	"bore"
"うがつ"	"drill"
"うがつ"	"hit"
"うがつ"	"pierce"
"うがつ"	"wear"
"うぐいす" "張り"	"nightingale"
"うけあう"	"assure"
"うけあう"	"guarantee"
"うけあう"	"undertake"
"うけとめる"	"catch"
"うけとめる"	"take"
"うける"	"accept"
"うける"	"catch"
"うける"	"get"
"うける"	"incur"
"うける"	"inherit"
"うける"	"receive"
"うける"	"sustain"
"うける"	"take"
"うごめく"	"squirm"
"うごめく"	"wriggle"
"うさぎ"	"hare"
"うさぎ"	"rabbit"
"うじうじ"	"hesitant"
"うじうじ"	"irresolute"
"うずく"	"ache"
"うずく"	"throb"
"うずくまる"	"crouch"
"うずくまる"	"squat"
"うずら"	"Jun"
"うずら"	"jun"
"うたい"	"recitation"
"うたい"	"you"
"うたう"	"express"
"うたう"	"insist"
"うたう"	"sing"
"うたう"	"state"
"うたう"	"stipulate"
"うだうだ"	"idle"
"うだる"	"boil"
"うだる"	"seethe"
"うっかり"	"carelessly"
"うっかり"	"inadvertently"
"うっとり"	"spellbound"
"うつ" "状態"	"depression"
"うつす"	"change"
"うつす"	"infect"
"うつす"	"substitute"
"うつす"	"swap"
"うつす"	"transfer"
"うつろ"	"blank"
"うつろ"	"cavity"
"うつろ"	"empty"
"うつろ"	"hollow"
"うつ病"	"depression"
"うなぎ"	"eel"
"うなずく"	"nod"
"うぬぼれ"	"conceit"
"うねうね"	"sinuous"
"うねうね"	"winding"
"うねうね"	"zigzag"
"うねり"	"roller"
"うねり"	"swell"
"うねり"	"winding"
"うまく"	"aptly"
"うまく"	"cleverly"
"うまく"	"deliciously"
"うまく"	"well"
"うむ"	"uh huh"
"うむ"	"uh" "huh"
"うむ"	"yea"
"うめき声"	"groan"
"うめき声"	"moan"
"うめく"	"groan"
"うめく"	"moan"
"うやむや"	"hazy"
"うやむや"	"indefinite"
"うやむや"	"vague"
"うるさい"	"annoying"
"うるさい"	"fussy"
"うるさい"	"loud"
"うるさい"	"noisy"
"うるさい"	"tiresome"
"うるさい"	"troublesome"
"うるむ"	"wet"
"うわさ" "話"	"gossip"
"うん"	"some"
"うん"	"uh huh"
"うん"	"uh" "huh"
"うん"	"yeah"
"うんこ"	"shit"
"うんざり"	"boring"
"うんざり"	"tedious"
"うんと"	"a lot"
"うんと"	"a" "lot"
"うんと"	"very much"
"うんと"	"very" "much"
"うんぬん"	"and so on"
"うんぬん"	"comment"
"うーん"	"hmm"
"うーん"	"well"
"え"	"eh"
"ええ"	"good"
"ええ"	"right"
"ええ"	"um"
"ええ"	"yes"
"ええと"	"well"
"えがく"	"depict"
"えがく"	"describe"
"えがく"	"draw"
"えがく"	"paint"
"えがく"	"sketch"
"えげつない"	"dirty"
"えげつない"	"nasty"
"えげつない"	"vulgar"
"えこひいき"	"bias"
"えこひいき"	"prejudice"
"えっちらおっちら"	"laboriously"
"えっと"	"well"
"えび" "ボクサー"	"crust"
"えびす"	"carrot"
"えらい"	"admirable"
"えらい"	"awful"
"えらい"	"eminent"
"えらい"	"excellent"
"えらい"	"famous"
"えらい"	"great"
"えらい"	"important"
"えらい"	"remarkable"
"えらい"	"terrible"
"えらぶ"	"choose"
"えらぶ"	"select"
"えり" "佳"	"erika"
"えり" "夏"	"erika"
"えり" "歌"	"erika"
"えり" "花"	"erika"
"えり" "香"	"erika"
"えりか"	"Erika"
"えりか"	"erika"
"えり分ける"	"classify"
"えん" "堤"	"dike"
"えん" "堤"	"weir"
"えんえん"	"endlessly"
"えんえん"	"forever"
"えんえん"	"sinuous"
"えんえん"	"winding"
"えんこ"	"arc"
"えんこ"	"sitting"
"お" "中"	"stomach"
"お" "主"	"you"
"お" "付き"	"attendant"
"お" "付き"	"escort"
"お" "付き"	"retainer"
"お" "付き合い"	"association"
"お" "付き合い"	"fellowship"
"お" "使い"	"errand"
"お" "使い"	"usage"
"お" "兄さん"	"buddy"
"お" "兄さん"	"fella"
"お" "兄ちゃん"	"mister"
"お" "出来"	"blister"
"お" "出来"	"boil"
"お" "別れ"	"farewell"
"お" "勧め"	"advice"
"お" "勧め"	"encouragement"
"お" "勧め"	"recommendation"
"お" "勧め"	"suggestion"
"お" "呪い"	"presto"
"お" "問い合わせ"	"enquiry"
"お" "問い合わせ"	"inquiry"
"お" "土産"	"present"
"お" "土産"	"souvenir"
"お" "坊さん"	"monk"
"お" "坊ちゃん"	"son"
"お" "報せ"	"notice"
"お" "報せ"	"notification"
"お" "奨め"	"advice"
"お" "奨め"	"encouragement"
"お" "奨め"	"recommendation"
"お" "奨め"	"suggestion"
"お" "好み"	"choice"
"お" "好み"	"preference"
"お" "姉さん"	"maam"
"お" "姉さん"	"miss"
"お" "嬢"	"daughter"
"お" "子"	"child"
"お" "寒い"	"chilly"
"お" "寒い"	"cold"
"お" "寒い"	"inadequate"
"お" "寒い"	"poor"
"お" "寒い"	"unsatisfactory"
"お" "小遣い"	"allowance"
"お" "尻"	"ass"
"お" "尻"	"bottom"
"お" "帰り"	"return"
"お" "広め"	"debut"
"お" "弾き"	"counter"
"お" "役目"	"duty"
"お" "徳"	"economical"
"お" "情け"	"affection"
"お" "情け"	"pity"
"お" "愛想"	"bill"
"お" "愛想"	"check"
"お" "愛想"	"compliment"
"お" "愛想"	"flattery"
"お" "愛想"	"hospitality"
"お" "愛想"	"service"
"お" "手"	"shake"
"お" "手洗い"	"bathroom"
"お" "手洗い"	"lavatory"
"お" "手洗い"	"toilet"
"お" "揃い"	"same"
"お" "暇"	"leisure"
"お" "楽しみ"	"amusement"
"お" "楽しみ"	"diversion"
"お" "楽しみ"	"enjoyment"
"お" "楽しみ"	"hobby"
"お" "楽しみ"	"pleasure"
"お" "気の毒"	"pity"
"お" "水"	"sexy"
"お" "水"	"suggestive"
"お" "水"	"water"
"お" "父様"	"father"
"お" "生"	"impudence"
"お" "皿"	"dish"
"お" "皿"	"plate"
"お" "目"	"eye"
"お" "目"	"sight"
"お" "目"	"vision"
"お" "碗"	"bowl"
"お" "祝"	"celebration"
"お" "祝"	"congratulation"
"お" "祝"	"festival"
"お" "米"	"rice"
"お" "見舞い"	"enquiry"
"お" "見舞い"	"inquiry"
"お" "負け"	"bonus"
"お" "通じ"	"evacuation"
"お" "邪魔"	"hindrance"
"お" "酒"	"alcohol"
"お" "酒"	"sake"
"お" "願い事"	"request"
"お" "風呂"	"bath"
"お" "ｋ"	"ok"
"おい"	"me"
"おいそれと"	"readily"
"おうか"	"adaptation"
"おうじ"	"alphabetic"
"おうじ"	"letter"
"おおい"	"cover"
"おおい"	"hood"
"おおい"	"mantle"
"おおい"	"me"
"おおい"	"shroud"
"おおう"	"conceal"
"おおう"	"cover"
"おおう"	"disguise"
"おおう"	"hide"
"おおう"	"wrap"
"おおっぴら"	"openly"
"おおよそ"	"about"
"おおよそ"	"approximately"
"おおよそ"	"roughly"
"おかげ"	"assistance"
"おかしい"	"amusing"
"おかしい"	"funny"
"おかしい"	"ridiculous"
"おかしい"	"strange"
"おかみ"	"emperor"
"おかみ"	"god"
"おかみ"	"government"
"おかみ"	"madam"
"おくび"	"belch"
"おくれる"	"delayed"
"おくれる"	"late"
"おくれる"	"overdue"
"おこがましい"	"absurd"
"おこがましい"	"ridiculous"
"おこし"	"development"
"おこし"	"evoke"
"おごそか"	"austere"
"おごそか"	"awful"
"おごそか"	"dignified"
"おごそか"	"impressive"
"おごそか"	"majestic"
"おごそか"	"stately"
"おごり"	"arrogance"
"おごり"	"haughtiness"
"おさらば"	"farewell"
"おしっこ"	"number one"
"おしっこ"	"number" "one"
"おしなべて"	"by and large"
"おしなべて"	"for the most part"
"おしなべて"	"in general"
"おしなべて"	"in" "general"
"おしべ"	"stamen"
"おしめ"	"diaper"
"おしゃぶり"	"dummy"
"おしろい"	"powder"
"おじゃる"	"be"
"おじゃる"	"come"
"おじゃる"	"go"
"おすすめ"	"advice"
"おすすめ"	"encouragement"
"おすすめ"	"recommendation"
"おすすめ"	"suggestion"
"おたまじゃくし"	"tadpole"
"おだて"	"flattery"
"おだて"	"screen"
"おだてる"	"flatter"
"おだてる"	"instigate"
"おちあう"	"gather"
"おちあう"	"join"
"おちあう"	"meet"
"おちあう"	"rendezvous"
"おちょくる"	"banter"
"おちょくる"	"tease"
"おっ" "開く"	"open"
"おっかない"	"extreme"
"おっかない"	"frightening"
"おっかない"	"huge"
"おっかない"	"scary"
"おっかなびっくり"	"gingerly"
"おっかなびっくり"	"nervously"
"おっかなびっくり"	"timidly"
"おっこちる"	"drop"
"おっつけ"	"by and by"
"おっと"	"gotcha"
"おっと"	"indeed"
"おっと"	"oops"
"おっと"	"right"
"おっと"	"sorry"
"おっと"	"uh huh"
"おっと"	"uh" "huh"
"おっと"	"widow"
"おっと"	"yes"
"おっとり"	"calmly"
"おっとり"	"gently"
"おっとり"	"quietly"
"おっぱい"	"suck"
"おつむ"	"face"
"おつむ"	"head"
"おとし"	"debit"
"おとし"	"withdrawal"
"おとしいれる"	"assault"
"おどかす"	"menace"
"おどかす"	"startle"
"おどかす"	"surprise"
"おどかす"	"threaten"
"おどす"	"menace"
"おどす"	"threaten"
"おのずから"	"naturally"
"おののく"	"shake"
"おののく"	"shiver"
"おののく"	"shudder"
"おののく"	"tremble"
"おはよう ござい ます"	"good morning"
"おはよう ござい ます"	"good" "morning"
"おはらい"	"purification"
"おびき出す"	"abduct"
"おびき出す"	"evoke"
"おびただしい"	"abundant"
"おびただしい"	"immense"
"おびただしい"	"innumerable"
"おびただしい"	"vast"
"おべっか"	"flattery"
"おぼえる"	"feel"
"おぼえる"	"memorize"
"おぼえる"	"remember"
"おぼしい"	"apparently"
"おぼつかない"	"doubtful"
"おぼつかない"	"shaky"
"おぼつかない"	"uncertain"
"おぼつかない"	"unreliable"
"おぼつかない"	"unsteady"
"おまえ"	"presence"
"おまえ"	"you"
"おまもり"	"assistant"
"おまもり"	"charm"
"おまもり"	"helper"
"おもし"	"weight"
"おもむろに"	"gently"
"おもむろに"	"slowly"
"おもり"	"clog"
"およぐ"	"swim"
"およそ"	"about"
"およそ"	"approximately"
"およそ"	"roughly"
"おろおろ"	"nervous"
"おろか" "者"	"fool"
"おろし"	"evacuation"
"おろす"	"abuse"
"おろす"	"denounce"
"おろす"	"disparage"
"おろそか"	"needless to say"
"おろそか"	"neglect"
"おろそか"	"negligence"
"おろそか"	"not to mention"
"おんな"	"widow"
"おんぼろ"	"shabby"
"おんぼろ"	"tattered"
"おーい"	"hello"
"お上"	"government"
"お上"	"madam"
"お上" "さん"	"missus"
"お上手"	"dexterity"
"お上手"	"flattery"
"お上手"	"skill"
"お上手"	"skillful"
"お世話"	"aid"
"お世話"	"assistance"
"お世話"	"help"
"お世辞"	"compliment"
"お世辞"	"flattery"
"お互い"	"each other"
"お互い"	"each" "other"
"お互い"	"mutual"
"お互い"	"reciprocal"
"お互いに"	"mutually"
"お互いに"	"reciprocally"
"お互いに"	"together"
"お休み"	"absence"
"お休み"	"holiday"
"お休み"	"rest"
"お休み"	"sleep"
"お供"	"attendant"
"お供"	"companion"
"お先に"	"ahead"
"お先に"	"before"
"お先に"	"previously"
"お出で"	"being"
"お出で"	"come"
"お出で"	"go"
"お出で"	"going"
"お出で"	"stay"
"お出で" "なさい"	"come"
"お出で" "なさい"	"go"
"お出で" "なさい"	"stay"
"お出で" "なさる"	"be"
"お出で" "なさる"	"come"
"お出で" "なさる"	"go"
"お出まし"	"appearance"
"お出まし"	"presence"
"お前"	"presence"
"お前"	"you"
"お前" "さま"	"you"
"お前" "さん"	"hey"
"お前" "さん"	"you"
"お勤め"	"bargain"
"お勤め"	"discount"
"お化け"	"ghost"
"お化け"	"goblin"
"お化け"	"monster"
"お参り"	"worship"
"お召し"	"clothing"
"お召し"	"dressing"
"お召し物"	"clothing"
"お呼び"	"call"
"お呼び"	"invitation"
"お喋り"	"chat"
"お喋り"	"gossip"
"お喋り"	"talk"
"お喋り"	"talkative"
"お墨付き"	"authorisation"
"お墨付き"	"authorization"
"お墨付き"	"autograph"
"お墨付き"	"certificate"
"お墨付き"	"handwriting"
"お天気"	"mood"
"お天気"	"temper"
"お天気"	"weather"
"お姫様"	"princess"
"お婆さん"	"grandmother"
"お嬢さん"	"daughter"
"お子さん"	"child"
"お子様"	"child"
"お宅"	"you"
"お守り"	"assistant"
"お守り"	"charm"
"お守り"	"helper"
"お安い"	"easy"
"お安い"	"simple"
"お定まり"	"normal"
"お定まり"	"usual"
"お宝"	"cash"
"お宝"	"money"
"お宝"	"treasure"
"お客" "さま"	"customer"
"お客" "さま"	"guest"
"お客" "さま"	"visitor"
"お客" "さん"	"customer"
"お客" "さん"	"guest"
"お客" "さん"	"visitor"
"お客様"	"customer"
"お客様"	"guest"
"お客様"	"visitor"
"お寺"	"monk"
"お寺"	"temple"
"お寺" "さま"	"monk"
"お寺" "様"	"monk"
"お巡り"	"policeman"
"お巡りさん"	"policeman"
"お座敷"	"gathering"
"お引き受け"	"acceptance"
"お引き受け"	"undertaking"
"お手上げ"	"all over"
"お手上げ"	"all" "over"
"お手伝い"	"help"
"お手伝い"	"maid"
"お手伝い" "さん"	"maid"
"お手数"	"labor"
"お手数"	"labour"
"お手数"	"trouble"
"お手本"	"example"
"お披露目"	"debut"
"お断り"	"declination"
"お断り"	"declining"
"お断り"	"refusal"
"お断り"	"rejection"
"お昼"	"lunch"
"お昼"	"noon"
"お札"	"bill"
"お札"	"note"
"お母さま"	"mother"
"お母さん"	"mother"
"お母様"	"mother"
"お気に入り"	"favorite"
"お気に入り"	"favourite"
"お気に入り"	"pet"
"お決まり"	"conventional"
"お決まり"	"regular"
"お決まり"	"routine"
"お決まり"	"set"
"お決まり"	"standard"
"お決まり"	"usual"
"お洒落"	"fashionable"
"お洒落"	"stylish"
"お流れ"	"abandonment"
"お流れ"	"cancellation"
"お湯"	"bath"
"お点前"	"dexterity"
"お点前"	"ingenuity"
"お点前"	"skill"
"お父さん"	"father"
"お爺さん"	"grandfather"
"お産"	"birth"
"お産"	"childbirth"
"お産"	"confinement"
"お産"	"delivery"
"お目にかかる"	"meet"
"お目にかかる"	"visible"
"お目見え"	"debut"
"お目見え"	"interview"
"お知らせ"	"notice"
"お知らせ"	"notification"
"お祈り"	"prayer"
"お祖母さん"	"grandmother"
"お祖父さん"	"grandfather"
"お祝い"	"celebration"
"お祝い"	"congratulation"
"お祝い"	"festival"
"お祭"	"feast"
"お祭"	"festival"
"お祭り"	"feast"
"お祭り"	"festival"
"お祭り騒ぎ"	"revelry"
"お笑い"	"comic"
"お節介"	"interference"
"お粗末"	"lame"
"お粗末"	"poor"
"お腹"	"stomach"
"お腹" "いっぱい"	"full up"
"お腹" "いっぱい"	"full" "up"
"お膳立て"	"preparation"
"お茶"	"tea"
"お荷物"	"baggage"
"お荷物"	"burden"
"お荷物"	"luggage"
"お菓子"	"candy"
"お蔭"	"assistance"
"お薦め"	"advice"
"お薦め"	"encouragement"
"お薦め"	"recommendation"
"お薦め"	"suggestion"
"お詫び"	"apology"
"お話" "中"	"busy"
"お話し" "中"	"busy"
"お調子者"	"flip"
"お辞儀"	"bow"
"お返し"	"change"
"お返し"	"revenge"
"お通し"	"appetizer"
"お部屋"	"room"
"お金"	"money"
"お釜"	"pot"
"お釣り"	"balance"
"お釣り"	"change"
"お鍋"	"pot"
"お開き"	"breakup"
"お開き"	"closure"
"お陰"	"assistance"
"お願い"	"please"
"お願い"	"request"
"お願い"	"wish"
"お願い" "ごと"	"request"
"お願い" "申し上げる"	"please"
"お馴染み"	"familiar"
"お馴染み"	"regular"
"か い"	"must"
"か い"	"should"
"か どう か"	"whether or not"
"か" "い"	"must"
"か" "い"	"should"
"か" "文字"	"mother"
"か" "文字"	"wife"
"かいつまむ"	"summarise"
"かいつまむ"	"summarize"
"かえす"	"complicate"
